Name,obs_date,rms,comp,Vpeak,Vpeak_err,FWHM,FWHM_err,Speak,Si,Si_err,direct_extract_Speak
NGC 7538 IRS1,20170220,0.049006464,Comp.I,-57.89715065,0.016724804,0.953277882,0.039409532,0.883204362,0.896216493,0.032072846,0.889605638
NGC 7538 IRS1,20170220,0.049006464,Comp.II,-59.97850117,0.013930415,0.788787384,0.032822486,0.964600271,0.809915192,0.029175394,1.022324866
NGC 7538 IRS1,20170305,0.069369117,absorption,-55.60786719,0.326575816,7.799543081,0.56655389,-0.318782362,-2.646644778,0.214154382,
NGC 7538 IRS1,20170305,0.069369117,Comp.I,-57.85599202,0.031396372,1.180600128,0.074177863,0.817886162,1.027845636,0.055805705,0.834069122
NGC 7538 IRS1,20170305,0.069369117,Comp.II,-59.99069545,0.021432858,0.748429237,0.050581918,0.954451782,0.760390965,0.044446417,1.028008298
NGC 7538 IRS1,20170318,0.048777066,absorption,-56.01360377,0.228642771,6.982459517,0.377856704,-0.314020478,-2.333987935,0.148924632,
NGC 7538 IRS1,20170318,0.048777066,Comp.I,-57.77904041,0.02124989,1.150039462,0.050194996,0.803533914,0.983669406,0.037105158,0.851532832
NGC 7538 IRS1,20170318,0.048777066,Comp.II,-59.9566407,0.014651027,0.815992044,0.034580716,0.981990529,0.852953653,0.031260096,1.054189522
NGC 7538 IRS1,20170423,0.039131603,absorption,-55.90305895,0.187200665,7.821582297,0.329191167,-0.335837021,-2.796117378,0.129856945,
NGC 7538 IRS1,20170423,0.039131603,Comp.I,-57.82752571,0.017275883,1.077852918,0.040728565,0.898259798,1.030608393,0.033699968,0.977330567
NGC 7538 IRS1,20170423,0.039131603,Comp.II,-59.99560237,0.012601643,0.780050773,0.029701691,1.047666747,0.869917848,0.028669784,1.091692374
NGC 7538 IRS1,20170424,0.052783153,absorption,-55.17002467,0.238285885,6.397736623,0.478661869,-0.287742626,-1.959578971,0.145209035,
NGC 7538 IRS1,20170424,0.052783153,Comp.I,-57.81326091,0.02212245,1.007402229,0.05212097,0.707867224,0.759078903,0.034000027,0.684637257
NGC 7538 IRS1,20170424,0.052783153,Comp.II,-59.99365171,0.016274581,0.79557135,0.038340536,0.855075397,0.724128693,0.030214293,0.925998335
NGC 7538 IRS1,20170530,0.056390649,absorption,-54.93529464,0.172480029,4.010543755,0.445381663,-0.233172768,-0.995435895,0.090527278,
NGC 7538 IRS1,20170530,0.056390649,Comp.I,-57.82494828,0.022748371,0.89480188,0.053570502,0.656314487,0.625131076,0.032410738,0.702444784
NGC 7538 IRS1,20170530,0.056390649,Comp.II,-60.06875191,0.017670943,0.781161874,0.041613496,0.789438998,0.656435146,0.030283102,0.818726536
