pic_name,Name,R.A.,Decl.,epoch,rms,V_peak,V_peak_err,FWHM,FWHM_err,T_peak,Area,Area_err,6.7GHz_CH3OH_maser?,RRLs?,distance_bayesian,distance_bayesian_err,d_kin
J174650.87,G21.282+12.143,17 46 50.90,-4 34 34.2,20160407,0.039789908,5.941122329,0.03172052,1.438987462,0.074696862,-0.534016714,-0.817982609,0.036771351,,,0.25,0.13,
J183056.20,G21.370-0.227,18 30 56.20,-10 22 48.7,20160704,0.051982097,90.85610205,0.089996677,3.631423156,0.211928089,-0.314499123,-1.215705854,0.061441122,Y,,8.68,2.19,
J183236.73,G21.458-0.645,18 32 36.74,-10 29 45.6,20160704,0.052213032,73.56691343,0.102506628,2.044904558,0.241387054,-0.215982648,-0.470136656,0.048063589,,,4.13,0.55,
J183311.71,G21.872-0.591,18 33 11.71,-10 06 11.8,20160704,0.057910129,54.30686846,0.084641685,2.780774044,0.199317925,-0.361810268,-1.070973684,0.066477135,,,3.43,0.32,
J183046.21,G21.939+0.117,18 30 46.21,-9 43 02.0,20160704,0.052945808,76.32091873,0.146658541,3.812260873,0.345357915,-0.21119765,-0.857045546,0.067244243,,,4.7,0.38,
J183319.74,G22.041-0.541,18 33 19.74,-9 55 50.2,20160715,0.038732536,53.30013288,0.085015325,3.769076981,0.20019779,-0.339858794,-1.363533241,0.062723197,,,3.44,0.33,
J183334.59,G22.043-0.609,18 33 34.59,-9 57 35.9,20160715,0.039310522,52.0946145,0.222729345,5.541426347,0.524492767,-0.125603303,-0.740891882,0.060727034,,,3.42,0.32,
J183038.52,G22.051+0.211,18 30 38.52,-9 34 28.2,20160715,0.044014107,51.40327813,0.045830896,3.033420725,0.10792459,-0.471263292,-1.52169801,0.046886364,Y,,3.3,0.31,
J183043.28,G22.226+0.281,18 30 43.28,-9 23 10.4,20160715,0.055671662,17.01641656,0.315301692,6.440960388,0.742486168,-0.130729236,-0.896304467,0.089478518,,,1.5,0.04,
J183043.28,G22.226+0.281,18 30 43.28,-9 23 10.4,20160715,0.055671662,114.8559364,0.070105611,2.729151071,0.165087728,-0.382756098,-1.111941413,0.058247313,,,8.49,0.53,
J183506.73,G22.268-0.918,18 35 06.74,-9 54 07.5,20160715,0.048424039,65.98803072,0.112426981,2.000947751,0.264747936,-0.159615164,-0.339971184,0.03895608,,,3.49,0.26,
J183411.47,G22.281-0.655,18 34 11.48,-9 46 11.6,20160715,0.040039599,50.46681539,0.069444407,4.877163401,0.163530717,-0.433520661,-2.250657014,0.065354822,,,3.41,0.32,
J183050.74,G22.396+0.334,18 30 50.75,-9 12 39.8,20160715,0.039407276,84.24162768,0.036999252,2.558035632,0.087127444,-0.49624685,-1.351252662,0.039857706,,H,4.74,0.41,4.768576391
J183050.74,G22.396+0.334,18 30 50.75,-9 12 39.8,20160715,0.039407276,117.9934721,0.211115814,5.486375504,0.497144705,-0.127379882,-0.743906889,0.058374409,,,7.78,0.95,
J183058.15,G22.397+0.300,18 30 58.16,-9 13 34.1,20160715,0.038870707,84.03522529,0.062353111,2.620149639,0.146831815,-0.306071961,-0.853653943,0.041427786,,H,4.74,0.41,4.760778853
J183058.15,G22.397+0.300,18 30 58.16,-9 13 34.1,20160715,0.038870707,117.215991,0.16416867,5.100785458,0.386591526,-0.162206371,-0.880718612,0.057803978,,,8.39,0.52,
J183412.92,G22.551-0.522,18 34 12.93,-9 28 09.1,20160715,0.04037508,76.08111589,0.06703052,2.625483792,0.157846382,-0.261017481,-0.729476232,0.037980192,,H,4.51,0.6,4.450779621
J183312.32,G22.663-0.183,18 33 12.33,-9 12 47.2,20160715,0.042822391,78.71001026,0.203810229,10.88668402,0.479941222,-0.294087834,-3.408041601,0.130118261,,,4.75,0.42,
J183312.32,G22.663-0.183,18 33 12.33,-9 12 47.2,20160715,0.042822391,106.8585991,0.186295467,6.238135945,0.438696687,-0.243560834,-1.617314563,0.098498904,,,7.53,1.51,
J183302.42,G22.772-0.080,18 33 02.43,-9 04 08.7,20160715,0.035203662,63.07260662,0.098280203,6.602211074,0.250677244,-0.338984854,-2.382329943,0.074846354,,,4.75,0.53,
J183302.42,G22.772-0.080,18 33 02.43,-9 04 08.7,20160715,0.035203662,72.50349843,0.136697538,5.436388194,0.33761323,-0.223563438,-1.293729411,0.068738698,,,4.79,0.42,
